,AppNumber,ApplicantType,ApprovedMatching,ApprovedOutright,AwardMatching,AwardOutright,BeginGrant,CouncilDate,Discipline,DisciplineCount,Division,EndGrant,InstCity,InstCountry,InstPostalCode,InstState,Institution,OrganizationType,OriginalAmount,Participant,ParticipantCount,PrimaryDiscipline,Program,ProjectDesc,ProjectTitle,SupplementCount,ToSupport,YearAwarded
0,FB-10007-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,{'Name': 'English'},1,Fellowships and Seminars,1969-12-31T00:00:00,Berkeley,USA,94720-1501,CA,"University of California, Berkeley",Four-Year College,8387.0000,"{'Firstname': 'John', 'Lastname': 'Elliot', 'Institution': 'University of California, Berkeley', 'City': 'Berkeley', 'State': 'CA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,English,Fellowships for Younger Scholars,{},Title not available,0,{},1968
1,FB-10009-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,{'Name': 'History of Religion'},1,Fellowships and Seminars,1969-12-31T00:00:00,Claremont,USA,91711-6101,CA,Pitzer College,Four-Year College,8387.0000,"{'Firstname': 'Steven', 'Lastname': 'Matthysse', 'Institution': 'Pitzer College', 'City': 'Claremont', 'State': 'CA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,History of Religion,Fellowships for Younger Scholars,{},Title not available,0,{},1968
2,FB-10015-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,"{'Name': 'History, General'}",1,Fellowships and Seminars,1969-12-31T00:00:00,Riverside,USA,92521-0001,CA,"University of California, Riverside",University,8387.0000,"{'Firstname': 'John', 'Lastname': 'Staude', 'Institution': 'University of California, Riverside', 'City': 'Riverside', 'State': 'CA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,"History, General",Fellowships for Younger Scholars,{},Title not available,0,{},1968
3,FB-10019-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,"{'Name': 'History, General'}",1,Fellowships and Seminars,1969-12-31T00:00:00,Boston,USA,02115-5000,MA,Northeastern University,Four-Year College,8387.0000,"{'Firstname': 'Thomas', 'Lastname': 'Havens', 'Institution': 'Northeastern University', 'City': 'Boston', 'State': 'MA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,"History, General",Fellowships for Younger Scholars,{},Title not available,0,{},1968
4,FB-10023-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,{'Name': 'Psychology'},1,Fellowships and Seminars,1969-12-31T00:00:00,Philadelphia,USA,19104-6243,PA,University of Pennsylvania,University,8387.0000,"{'Firstname': 'Gresham', 'Lastname': 'Riley', 'Institution': 'University of Pennsylvania', 'City': 'Philadelphia', 'State': 'PA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,Psychology,Fellowships for Younger Scholars,{},Title not available,0,{},1968
5,FB-10045-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,"{'Name': 'Political Science, General'}",1,Fellowships and Seminars,1969-12-31T00:00:00,South Hadley,USA,01075-1461,MA,Mount Holyoke College,Four-Year College,8387.0000,"{'Firstname': 'Stephen', 'Lastname': 'Ellenburg', 'Institution': 'Mount Holyoke College', 'City': 'South Hadley', 'State': 'MA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,"Political Science, General",Fellowships for Younger Scholars,{},Title not available,0,{},1968
6,FB-10047-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,{'Name': 'English'},1,Fellowships and Seminars,1969-12-31T00:00:00,Boston,USA,02215-1300,MA,Boston University,University,8387.0000,"{'Firstname': 'Arthur', 'Lastname': 'Freeman', 'Institution': 'Boston University', 'City': 'Boston', 'State': 'MA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,English,Fellowships for Younger Scholars,{},Title not available,0,{},1968
7,FB-10051-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,{'Name': 'U.S. History'},1,Fellowships and Seminars,1969-12-31T00:00:00,Northampton,USA,01063-0001,MA,Smith College,Four-Year College,8387.0000,"{'Firstname': 'Raymond', 'Lastname': 'Wilson', 'Institution': 'Smith College', 'City': 'Northampton', 'State': 'MA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,U.S. History,Fellowships for Younger Scholars,{},Title not available,0,{},1968
8,FB-10063-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,{'Name': 'U.S. History'},1,Fellowships and Seminars,1969-12-31T00:00:00,Lincoln,USA,68588,NE,"University of Nebraska, Lincoln",University,8387.0000,"{'Firstname': 'Benjamin', 'Lastname': 'Rader', 'Institution': 'University of Nebraska, Lincoln', 'City': 'Lincoln', 'State': 'NE', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,U.S. History,Fellowships for Younger Scholars,{},Title not available,0,{},1968
9,FB-10067-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,"{'Name': 'History, General'}",1,Fellowships and Seminars,1969-12-31T00:00:00,East Orange,USA,07019,NJ,Upsala College,Four-Year College,8387.0000,"{'Firstname': 'James', 'Lastname': 'Stam', 'Institution': 'Upsala College', 'City': 'East Orange', 'State': 'NJ', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,"History, General",Fellowships for Younger Scholars,{},Title not available,0,{},1968
10,FB-10069-68,I,0.0000,8387.0000,0.0000,8387.0000,1969-01-01T00:00:00,1967-11-01,{'Name': 'Comparative Languages'},1,Fellowships and Seminars,1969-12-31T00:00:00,New Brunswick,USA,08901-8559,NJ,"Rutgers University, New Brunswick",University,8387.0000,"{'Firstname': 'Albert', 'Lastname': 'Wolohojian', 'Institution': 'Rutgers University, New Brunswick', 'City': 'New Brunswick', 'State': 'NJ', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,Comparative Languages,Fellowships for Younger Scholars,{},Title not available,0,{},1968
11,XN-10001-69,O,0.0000,1500.0000,0.0000,1500.0000,1969-06-01T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1970-05-31T00:00:00,Langston,USA,73050,OK,Langston University,Four-Year College,1500.0000,"{'Firstname': 'Henry', 'Lastname': 'Ponder', 'Institution': 'Langston University', 'City': 'Langston', 'State': 'OK', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-06-01T00:00:00'}",1,"Interdisciplinary Studies, General",Negro College Faculty Development,{},Faculty Development Project,0,{},1969
12,XN-10003-69,O,0.0000,7000.0000,0.0000,7000.0000,1969-06-01T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1969-08-31T00:00:00,Tuskegee,USA,36088-1923,AL,Tuskegee University,University,7000.0000,"[{'Firstname': 'Aubrey', 'Lastname': 'LaBrie', 'Institution': 'Tuskegee University', 'City': 'Tuskegee', 'State': 'AL', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-06-01T00:00:00'}, {'Firstname': 'James', 'Lastname': 'Preston', 'Institution': 'Tuskegee University', 'City': 'Tuskegee', 'State': 'AL', 'Country': 'USA', 'ParticipantTypeID': 'Co Project Director', 'ValidFr': '1969-06-01T00:00:00', 'ValidTo': '1969-08-31T00:00:00'}]",2,"Interdisciplinary Studies, General",Negro College Faculty Development,{},Faculty Development Program,0,{},1969
13,XN-10005-69,O,0.0000,8460.0000,0.0000,8460.0000,1969-03-01T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1970-05-15T00:00:00,Albany,USA,31705-2796,GA,Albany State University,Four-Year College,8460.0000,"{'Firstname': 'James', 'Lastname': 'Marquis', 'Institution': 'Albany State University', 'City': 'Albany', 'State': 'GA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-03-01T00:00:00'}",1,"Interdisciplinary Studies, General",Negro College Faculty Development,{},Faculty Development Program,0,{},1969
14,XN-10007-69,O,0.0000,8670.0000,0.0000,8670.0000,1969-03-15T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1970-03-14T00:00:00,Atlanta,USA,30314,GA,Clark Atlanta University,Four-Year College,8670.0000,"{'Firstname': 'John', 'Lastname': 'Winters', 'Institution': 'Clark Atlanta University', 'City': 'Atlanta', 'State': 'GA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-03-15T00:00:00'}",1,"Interdisciplinary Studies, General",Negro College Faculty Development,{},Faculty Development Grant,0,{},1969
15,XN-10021-69,O,0.0000,7520.0000,0.0000,7520.0000,1969-04-01T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1969-08-31T00:00:00,Orangeburg,USA,29115-6815,SC,Claflin University,Four-Year College,7520.0000,"{'Firstname': 'Marian', 'Lastname': 'Miller', 'Institution': 'Claflin University', 'City': 'Orangeburg', 'State': 'SC', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-04-01T00:00:00'}",1,"Interdisciplinary Studies, General",Negro College Faculty Development,{},Faculty Development Project,0,{},1969
16,XN-10029-69,O,0.0000,10000.0000,0.0000,10000.0000,1969-01-01T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1969-12-31T00:00:00,New York,USA,10031,NY,City College of New York,Two-year College,10000.0000,"{'Firstname': 'Bernard', 'Lastname': 'Harleston', 'Institution': 'City College of New York', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,"Interdisciplinary Studies, General",Negro College Faculty Development,{},Faculty Development Project,0,{},1969
17,XN-10033-69,O,0.0000,6350.0000,0.0000,6350.0000,1969-02-01T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1969-07-31T00:00:00,Orangeburg,USA,29115-4427,SC,South Carolina State University,Four-Year College,6350.0000,"{'Firstname': 'Nettie', 'Lastname': 'Parler', 'Institution': 'South Carolina State University', 'City': 'Orangeburg', 'State': 'SC', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-02-01T00:00:00'}",1,"Interdisciplinary Studies, General",Negro College Faculty Development,{},Faculty Development Project,0,{},1969
18,XN-10037-69,O,0.0000,7450.0000,0.0000,7450.0000,1969-06-01T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1969-08-31T00:00:00,New Orleans,USA,70125,LA,Xavier University of Louisiana,Four-Year College,7450.0000,"{'Firstname': 'Dorothy', 'Lastname': 'Johnson', 'Institution': 'Xavier University of Louisiana', 'City': 'New Orleans', 'State': 'LA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-06-01T00:00:00'}",1,"Interdisciplinary Studies, General",Negro College Faculty Development,{},Faculty Development Program,0,{},1969
19,XY-10073-68,I,0.0000,8387.0000,0.0000,8387.0000,1967-10-01T00:00:00,1967-11-01,"{'Name': 'History, General'}",1,Fellowships and Seminars,1968-11-30T00:00:00,Ann Arbor,USA,48109,MI,"University of Michigan, Ann Arbor",University,8387.0000,"{'Firstname': 'Richard', 'Lastname': 'Haywood', 'Institution': 'University of Michigan, Ann Arbor', 'City': 'Ann Arbor', 'State': 'MI', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-10-01T00:00:00'}",1,"History, General",Fellowships for Younger Scholars,{},Title not available,0,{},1968
20,AO-10003-67,O,0.0000,5883.0000,0.0000,5883.0000,1967-05-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Miscellaneous Humanities Projects,1967-07-31T00:00:00,Pittsburgh,USA,15260-6133,PA,University of Pittsburgh,University,5883.0000,"{'Firstname': 'Edison', 'Lastname': 'Montgomery', 'Institution': 'University of Pittsburgh', 'City': 'Pittsburgh', 'State': 'PA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-05-01T00:00:00'}",1,"Interdisciplinary Studies, General",Program Development/Planning Grants,"Two-day conference whose principal function would be devoted to the discussion of retrieval systems and various techniques that have been established in attempting to coordinate discrete retrieval in various locations and disciplines. The conference would include representatives from the National Science Foundation, Library of Congress, American Council of Learned Societies, and other similarly informed organizations. The conference would also include a session devoted to a discussion of the possible future capabilities of computers and to the impact that this manifestation of various techniques might have upon the philosophy of knowledge.",Support of a Conference to Explore Potential Application of Computer Science to the Advancement of Research in the Humanities,0,{},1967
21,AO-10015-69,O,0.0000,12210.0000,0.0000,12210.0000,1969-07-01T00:00:00,1969-05-15,"{'Name': 'History, General'}",1,Miscellaneous Humanities Projects,1970-09-30T00:00:00,Madison,USA,57042-1799,SD,Dakota State University,Four-Year College,12210.0000,"{'Firstname': 'David', 'Lastname': 'Genaway', 'Institution': 'Dakota State University', 'City': 'Madison', 'State': 'SD', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-07-01T00:00:00'}",1,"History, General",Program Development/Planning Grants,{},"A Guideline for the Planning, Development and Organization of the Karl E. Mundt Archival Library",0,{},1969
22,AO-10017-69,O,0.0000,10000.0000,0.0000,10000.0000,1969-07-01T00:00:00,1969-05-15,"{'Name': 'History and Philosophy of Science, Technology, and Medicine'}",1,Miscellaneous Humanities Projects,1969-11-30T00:00:00,Philadelphia,USA,19107,PA,Society for Health and Human Values,Professional Association,10000.0000,"{'Firstname': 'Lorraine', 'Lastname': 'Hunt', 'Institution': 'Society for Health and Human Values', 'City': 'Philadelphia', 'State': 'PA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-07-01T00:00:00'}",1,"History and Philosophy of Science, Technology, and Medicine",Program Development/Planning Grants,{},A Study of Humanities Programs in Medical Settings,0,{},1969
23,AO-10019-69,I,0.0000,10000.0000,0.0000,10000.0000,1969-07-01T00:00:00,1969-05-15,"{'Name': 'Interdisciplinary Studies, General'}",1,Miscellaneous Humanities Projects,1970-06-30T00:00:00,Washington,USA,20418-0006,DC,National Academy of Sciences,Professional Association,10000.0000,"{'Firstname': 'Frederick', 'Lastname': 'Seitz', 'Institution': 'National Academy of Sciences', 'City': 'Washington', 'State': 'DC', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-07-01T00:00:00'}",1,"Interdisciplinary Studies, General",Program Development/Planning Grants,{},Annual Survey of Doctorate Awards,0,{},1969
24,AO-10025-69,I,500.0000,4000.0000,500.0000,4000.0000,1969-06-01T00:00:00,1969-05-15,"{'Name': 'Interdisciplinary Studies, General'}",1,Miscellaneous Humanities Projects,1972-01-31T00:00:00,Westport,USA,{},CT,Unaffiliated Independent Scholar,Individual,4500.0000,"{'Firstname': 'Mary', 'Lastname': 'Mix', 'Institution': 'Unaffiliated Independent Scholar', 'City': {}, 'State': {}, 'Country': {}, 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-06-01T00:00:00'}",1,"Interdisciplinary Studies, General",Program Development/Planning Grants,"Study of experimental and innovative American colleges and college programs in the past century, with primary emphasis on differences in curricular philosophies.  ABSTRACT:  Study of experimental and innovative American colleges and college programs in the past century, with primary emphasis on differences in curricular philosophies.  PI to compare not only stated philosophies but some of the differences in their underlying assumptions about the nature of the student, the definition of an ""undeducated man,"" the nature and function of knowledge, the nature of education, and the relation of education to society.",A Study of Innovative American Colleges,0,{},1969
25,ED-10011-69,O,8250.0000,25000.0000,8250.0000,25000.0000,1969-07-01T00:00:00,1969-02-17,"[{'Name': 'History, General'}, {'Name': 'Literature, General'}]",2,Education Programs,1974-06-30T00:00:00,Charlottesville,USA,22904-4195,VA,University of Virginia,University,33250.0000,"{'Firstname': 'George', 'Lastname': 'Reese', 'Institution': 'University of Virginia', 'City': 'Charlottesville', 'State': 'VA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-07-01T00:00:00'}",1,"History, General",Education Development and Demonstration,"Establishment and support for the Center for Textual and Editorial Studies in Humanistic Sources, a program for instruction of graduate students in the handling and editing of manuscript sources and printed text.  Establishment and support for the Center for Textual and Editorial Studies in Humanistic Sources, a program for instruction of graduate students in the handling and editing of manuscript sources and printed texts.  Consideration will be given to the transmission of literary and historical texts and to the principles of textual criticism and literary and historical editing.  Primary purpose of center is to reintroduce American students of history and literature to concern for the integrity of the text upon which conclusions in the fields is based.  Will prepare some of these students for careers as scholarly editors.  Arrangements have been made with the University of Virginia Library, the Virginia Historical Society, the Library of the College of William and Mary, and the Research Department of colonial Williamsburg, Inc., to provide photographic copies of unedited manuscripts and printed materials to serve as texts for instruction in editorial procedures, which will result in a body of edited texts which have contributed to the training of the student editors which can then be published without further editing.   Plans have been made for apprentice programs and/or lectures by the editorial staffs of the paper of George Washington, the John Marshall papers, the James Madison Papers and Stephen Crane's literary texts.  Cooperation also planned with the Modern Language Association's Center for Editions of American Authors.  Fund for first 2 years of projected 5 year project.  Covers salaries, graduate fellowships, honoraria, travel, supplies, indirect costs.",Center for Textual and Editorial Studies in Humanistic Sources,0,{},1969
26,ED-10031-69,O,37500.0000,60375.0000,37500.0000,60375.0000,1969-03-01T00:00:00,1969-02-17,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1970-02-28T00:00:00,Hiram,USA,44234-9539,OH,Hiram College,Four-Year College,97875.0000,"{'Firstname': 'George', 'Lastname': 'Morgan', 'Institution': 'Hiram College', 'City': 'Hiram', 'State': 'OH', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-03-01T00:00:00'}",1,"Interdisciplinary Studies, General",Education Development and Demonstration,{},Hiram College Freshman Year Program,0,{},1969
27,EH-10001-68,O,0.0000,32400.0000,0.0000,32400.0000,1967-06-01T00:00:00,1968-02-12,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1967-09-30T00:00:00,Oneonta,USA,13820-4623,NY,"SUNY Research Foundation, College at Oneonta",Four-Year College,32400.0000,"{'Firstname': 'Louis', 'Lastname': 'Jones', 'Institution': 'SUNY Research Foundation, College at Oneonta', 'City': 'Oneonta', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-06-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Museum Fellowship Program,0,{},1968
28,EH-10009-67,O,0.0000,3870.0000,0.0000,3870.0000,1967-08-01T00:00:00,1967-05-22,{'Name': 'U.S. History'},1,Education Programs,1968-06-30T00:00:00,Norfolk,USA,23529-0001,VA,Old Dominion University,University,3870.0000,"{'Firstname': 'Ralph', 'Lastname': 'deBedts', 'Institution': 'Old Dominion University', 'City': 'Norfolk', 'State': 'VA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-08-01T00:00:00'}",1,U.S. History,Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency Program,0,{},1967
29,EH-10011-67,O,0.0000,5760.0000,0.0000,5760.0000,1967-08-01T00:00:00,1967-01-12,{'Name': 'Art History'},1,Education Programs,1968-07-31T00:00:00,Los Angeles,USA,90041-3314,CA,Occidental College,Four-Year College,5760.0000,"{'Firstname': 'Robert', 'Lastname': 'Gross', 'Institution': 'Occidental College', 'City': 'Los Angeles', 'State': 'CA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-08-01T00:00:00'}",1,Art History,Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency Program,0,{},1967
30,EH-10013-67,O,0.0000,5549.0000,0.0000,5549.0000,1967-08-01T00:00:00,1967-01-12,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1968-07-31T00:00:00,Albion,USA,49224-1887,MI,Albion College,Four-Year College,5549.0000,"{'Firstname': 'Jack', 'Lastname': 'Padgett', 'Institution': 'Albion College', 'City': 'Albion', 'State': 'MI', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-08-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency Program,0,{},1967
31,EH-10017-67,O,0.0000,4430.0000,0.0000,4430.0000,1967-08-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1968-07-31T00:00:00,Bryn Mawr,USA,19010-2899,PA,Bryn Mawr College,Four-Year College,4430.0000,"{'Firstname': 'Milton', 'Lastname': 'Nahm', 'Institution': 'Bryn Mawr College', 'City': 'Bryn Mawr', 'State': 'PA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-08-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency Program,0,{},1967
32,EH-10019-67,O,0.0000,4540.0000,0.0000,4540.0000,1967-08-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1968-07-31T00:00:00,Lewisburg,USA,17837-2010,PA,Bucknell University,Four-Year College,4540.0000,"{'Firstname': 'Harry', 'Lastname': 'Garvin', 'Institution': 'Bucknell University', 'City': 'Lewisburg', 'State': 'PA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-08-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency Program,0,{},1967
33,EH-10021-67,O,0.0000,5250.0000,0.0000,5250.0000,1967-08-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1968-07-31T00:00:00,Granville,USA,43023-1533,OH,Denison University,Four-Year College,5250.0000,"{'Firstname': 'William', 'Lastname': 'Preston', 'Institution': 'Denison University', 'City': 'Granville', 'State': 'OH', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-08-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency Program,0,{},1967
34,EH-10023-67,O,0.0000,5070.0000,0.0000,5070.0000,1966-08-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1967-07-31T00:00:00,Easton,USA,18042-7625,PA,Lafayette College,Four-Year College,5070.0000,"{'Firstname': 'Robert', 'Lastname': 'Kelson', 'Institution': 'Lafayette College', 'City': 'Easton', 'State': 'PA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1966-08-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency,0,{},1967
35,EH-10027-67,O,0.0000,5630.0000,0.0000,5630.0000,1967-07-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1968-06-30T00:00:00,Memphis,USA,38112-1624,TN,Rhodes College,Four-Year College,5630.0000,"{'Firstname': 'John.', 'Lastname': 'Benish', 'Institution': 'Rhodes College', 'City': 'Memphis', 'State': 'TN', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-07-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency Program,0,{},1967
36,EH-10029-67,O,0.0000,6560.0000,0.0000,6560.0000,1967-07-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1968-06-30T00:00:00,Fresno,USA,93740-0048,CA,"California State University, Fresno",Four-Year College,6560.0000,"{'Firstname': 'Philip', 'Lastname': 'Walker', 'Institution': 'California State University, Fresno', 'City': 'Fresno', 'State': 'CA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-07-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Post-Doctoral Teaching Residency Program,0,{},1967
37,EH-10031-67,O,0.0000,22100.0000,0.0000,22100.0000,1967-02-01T00:00:00,1967-01-12,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1967-07-31T00:00:00,Athens,USA,30602-0001,GA,University of Georgia,University,22100.0000,"{'Firstname': 'Lester', 'Lastname': 'Walker', 'Institution': 'University of Georgia', 'City': 'Athens', 'State': 'GA', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-02-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Support of a Travel-Study Institute in the Art and Culture of Latin America,0,{},1967
38,EH-10033-67,O,0.0000,8970.0000,0.0000,8970.0000,1966-01-01T00:00:00,1967-01-12,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1967-01-31T00:00:00,Grand Rapids,USA,49506-1799,MI,Aquinas College,Four-Year College,8970.0000,"{'Firstname': 'Gertrude', 'Lastname': 'Horgan', 'Institution': 'Aquinas College', 'City': 'Grand Rapids', 'State': 'MI', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1966-01-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Humanities Workshop in Literature and the Arts,0,{},1967
39,EH-10035-67,O,0.0000,30000.0000,0.0000,30000.0000,1967-05-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1967-09-30T00:00:00,Louisville,USA,40292-0001,KY,University of Louisville,University,30000.0000,"{'Firstname': 'John', 'Lastname': 'Dillion', 'Institution': 'University of Louisville', 'City': 'Louisville', 'State': 'KY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-05-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Summer Humanities Institute Program,0,{},1967
40,EH-10038-68,O,0.0000,7800.0000,0.0000,7800.0000,1967-11-01T00:00:00,1967-11-01,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1968-06-30T00:00:00,Evanston,USA,{},IL,Central States Colleges Association,{},7800.0000,"{'Firstname': 'Pressley', 'Lastname': 'McCoy', 'Institution': 'Central States Colleges Association', 'City': 'Evanston', 'State': 'IL', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-11-01T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Visiting Scholars Program,0,{},1968
41,EH-10040-68,O,0.0000,4550.0000,0.0000,4550.0000,1968-08-01T00:00:00,1968-02-12,"{'Name': 'History, General'}",1,Education Programs,1969-07-31T00:00:00,Granville,USA,43023-1533,OH,Denison University,Four-Year College,4550.0000,"{'Firstname': 'Morton', 'Lastname': 'Stratton', 'Institution': 'Denison University', 'City': 'Granville', 'State': 'OH', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1968-08-01T00:00:00'}",1,"History, General",Institutes for College and University Teachers,{},Teacher Residency Program,0,{},1968
